item,rater,label,text
m107,eli,Negative,I cancelled last month and you still took payment.
m108,ana,Neutral,Is the product made from recycled materials?
m108,ben,Neutral,Is the product made from recycled materials?
m108,chloe,Neutral,Is the product made from recycled materials?
m108,dana,Neutral,Is the product made from recycled materials?
m108,eli,Neutral,Is the product made from recycled materials?
m109,ben,Negative,"Really impressed that the tracking page says ""delivered"". It wasn't."
m109,chloe,Negative,"Really impressed that the tracking page says ""delivered"". It wasn't."
m109,dana,Negative,"Really impressed that the tracking page says ""delivered"". It wasn't."
m109,eli,Negative,"Really impressed that the tracking page says ""delivered"". It wasn't."
m110,ana,Negative,The warranty claim was rejected with no explanation.
m110,ben,Negative,The warranty claim was rejected with no explanation.
m110,chloe,Negative,The warranty claim was rejected with no explanation.
m110,dana,Negative,The warranty claim was rejected with no explanation.
m110,eli,Sarcastic,The warranty claim was rejected with no explanation.
m111,ana,Positive,Your team fixed a bug I reported within a week. Amazing.
m111,ben,Positive,Your team fixed a bug I reported within a week. Amazing.
m111,chloe,Positive,Your team fixed a bug I reported within a week. Amazing.
m111,dana,Positive,Your team fixed a bug I reported within a week. Amazing.
m111,eli,Positive,Your team fixed a bug I reported within a week. Amazing.
m112,ana,Positive,My discount code was rejected at checkout.
m112,ben,Negative,My discount code was rejected at checkout.
m112,chloe,Negative,My discount code was rejected at checkout.
m112,dana,Neutral,My discount code was rejected at checkout.
m112,eli,Sarcastic,My discount code was rejected at checkout.
m113,chloe,Sarcastic,Great job losing my order again. You're getting good at it.
m113,eli,Negative,Great job losing my order again. You're getting good at it.
m114,ana,Sarcastic,"Wow, a refund in only four months. Record time."
m114,ben,Positive,"Wow, a refund in only four months. Record time."
m114,chloe,Sarcastic,"Wow, a refund in only four months. Record time."
m114,dana,Neutral,"Wow, a refund in only four months. Record time."
m114,eli,Sarcastic,"Wow, a refund in only four months. Record time."
m115,ana,Negative,The installer never showed up and never called.
m115,ben,Negative,The installer never showed up and never called.
m115,chloe,Negative,The installer never showed up and never called.
m115,eli,Sarcastic,The installer never showed up and never called.
m116,ana,Neutral,Could you tell me the dimensions of the large box?
m116,ben,Neutral,Could you tell me the dimensions of the large box?
m116,chloe,Neutral,Could you tell me the dimensions of the large box?
m116,dana,Neutral,Could you tell me the dimensions of the large box?
m116,eli,Neutral,Could you tell me the dimensions of the large box?
m117,ben,Positive,The chat support was quick and friendly.
m117,chloe,Positive,The chat support was quick and friendly.
m117,dana,Positive,The chat support was quick and friendly.
m117,eli,Positive,The chat support was quick and friendly.
m118,ana,Negative,Thanks for the 40% off coupon on a product you no longer sell.
m118,ben,Sarcastic,Thanks for the 40% off coupon on a product you no longer sell.
m118,dana,Neutral,Thanks for the 40% off coupon on a product you no longer sell.
m118,eli,Negative,Thanks for the 40% off coupon on a product you no longer sell.
m119,ana,Neutral,Can I change the delivery address on order 4471?
m119,ben,Neutral,Can I change the delivery address on order 4471?
m119,chloe,Sarcastic,Can I change the delivery address on order 4471?
m119,dana,Neutral,Can I change the delivery address on order 4471?
m119,eli,Neutral,Can I change the delivery address on order 4471?
m120,ana,Neutral,Do you ship to Norway?
m120,ben,Neutral,Do you ship to Norway?
m120,dana,Neutral,Do you ship to Norway?
m120,eli,Neutral,Do you ship to Norway?
m121,ana,Sarcastic,Superb quality. It lasted almost a whole week.
m121,ben,Sarcastic,Superb quality. It lasted almost a whole week.
m121,chloe,Negative,Superb quality. It lasted almost a whole week.
m121,dana,Negative,Superb quality. It lasted almost a whole week.
m121,eli,Negative,Superb quality. It lasted almost a whole week.
m122,ana,Neutral,Is there a student discount?
m122,ben,Neutral,Is there a student discount?
m122,chloe,Neutral,Is there a student discount?
m122,dana,Neutral,Is there a student discount?
m122,eli,Neutral,Is there a student discount?
m123,ana,Neutral,What's the difference between the Basic and Plus plans?
m123,ben,Neutral,What's the difference between the Basic and Plus plans?
m123,chloe,Neutral,What's the difference between the Basic and Plus plans?
m123,dana,Neutral,What's the difference between the Basic and Plus plans?
m123,eli,Neutral,What's the difference between the Basic and Plus plans?
m124,ana,Neutral,I'm writing to confirm my appointment on the 14th.
m124,ben,Neutral,I'm writing to confirm my appointment on the 14th.
m124,chloe,Neutral,I'm writing to confirm my appointment on the 14th.
m124,dana,Neutral,I'm writing to confirm my appointment on the 14th.
m125,ana,Positive,Appreciate you replacing the cracked screen at no charge.
m125,ben,Positive,Appreciate you replacing the cracked screen at no charge.
m125,chloe,Positive,Appreciate you replacing the cracked screen at no charge.
m125,eli,Positive,Appreciate you replacing the cracked screen at no charge.
m126,ana,Sarcastic,I got a bill for a service I never ordered.
m126,ben,Negative,I got a bill for a service I never ordered.
m126,dana,Negative,I got a bill for a service I never ordered.
m126,eli,Sarcastic,I got a bill for a service I never ordered.
m127,ana,Negative,"The tracking link has said ""in transit"" for ten days."
m127,chloe,Negative,"The tracking link has said ""in transit"" for ten days."
m127,dana,Negative,"The tracking link has said ""in transit"" for ten days."
m128,ana,Neutral,"My order number is 88213, just confirming it was received."
m128,ben,Neutral,"My order number is 88213, just confirming it was received."
m128,chloe,Neutral,"My order number is 88213, just confirming it was received."
m128,dana,Neutral,"My order number is 88213, just confirming it was received."
m128,eli,Neutral,"My order number is 88213, just confirming it was received."
m129,ana,Neutral,What's the weight limit for the standard courier?
m129,ben,Neutral,What's the weight limit for the standard courier?
m129,chloe,Neutral,What's the weight limit for the standard courier?
m129,eli,Neutral,What's the weight limit for the standard courier?
m130,ana,Positive,"The discount code worked perfectly, thanks!"
m130,ben,Positive,"The discount code worked perfectly, thanks!"
m130,chloe,Positive,"The discount code worked perfectly, thanks!"
m130,dana,Neutral,"The discount code worked perfectly, thanks!"
m131,ana,Negative,Your agent hung up on me mid-conversation.
m131,ben,Negative,Your agent hung up on me mid-conversation.
m131,chloe,Negative,Your agent hung up on me mid-conversation.
m131,dana,Negative,Your agent hung up on me mid-conversation.
m131,eli,Negative,Your agent hung up on me mid-conversation.
m132,chloe,Negative,My account was locked and support won't unlock it.
m132,dana,Negative,My account was locked and support won't unlock it.
m132,eli,Negative,My account was locked and support won't unlock it.
m133,ana,Sarcastic,Your chatbot just loops back to the main menu.
m133,ben,Sarcastic,Your chatbot just loops back to the main menu.
m133,dana,Neutral,Your chatbot just loops back to the main menu.
m133,eli,Negative,Your chatbot just loops back to the main menu.
m134,ana,Positive,The courier was polite and even carried it upstairs.
m134,ben,Positive,The courier was polite and even carried it upstairs.
m134,chloe,Positive,The courier was polite and even carried it upstairs.
m134,dana,Positive,The courier was polite and even carried it upstairs.
m134,eli,Positive,The courier was polite and even carried it upstairs.
m135,ana,Negative,Of course the one item I needed was the one you forgot.
m135,ben,Negative,Of course the one item I needed was the one you forgot.
m135,chloe,Sarcastic,Of course the one item I needed was the one you forgot.
m135,dana,Negative,Of course the one item I needed was the one you forgot.
m135,eli,Sarcastic,Of course the one item I needed was the one you forgot.
m136,ana,Neutral,What payment methods do you accept?
m136,ben,Negative,What payment methods do you accept?
m136,chloe,Neutral,What payment methods do you accept?
m136,dana,Neutral,What payment methods do you accept?
m137,ana,Positive,"Really happy with the headphones, sound is excellent."
m137,ben,Positive,"Really happy with the headphones, sound is excellent."
m137,chloe,Positive,"Really happy with the headphones, sound is excellent."
m137,dana,Positive,"Really happy with the headphones, sound is excellent."
m137,eli,Positive,"Really happy with the headphones, sound is excellent."
m138,ana,Negative,The login page has been down all morning.
m138,ben,Negative,The login page has been down all morning.
m138,chloe,Negative,The login page has been down all morning.
m138,dana,Neutral,The login page has been down all morning.
m138,eli,Negative,The login page has been down all morning.
m139,ana,Negative,"The replacement arrived broken, just like the first one."
m139,ben,Negative,"The replacement arrived broken, just like the first one."
m139,chloe,Negative,"The replacement arrived broken, just like the first one."
m139,dana,Negative,"The replacement arrived broken, just like the first one."
m139,eli,Negative,"The replacement arrived broken, just like the first one."
m140,ana,Sarcastic,"Brilliant, the ""express"" delivery took eleven days."
m140,ben,Sarcastic,"Brilliant, the ""express"" delivery took eleven days."
m140,chloe,Negative,"Brilliant, the ""express"" delivery took eleven days."
m140,dana,Neutral,"Brilliant, the ""express"" delivery took eleven days."
m140,eli,Negative,"Brilliant, the ""express"" delivery took eleven days."
m141,ana,Positive,Order arrived well packed and exactly as described.
m141,ben,Positive,Order arrived well packed and exactly as described.
m141,chloe,Positive,Order arrived well packed and exactly as described.
m141,dana,Positive,Order arrived well packed and exactly as described.
m141,eli,Positive,Order arrived well packed and exactly as described.
m142,ana,Neutral,Please cancel my subscription at the end of this month.
m142,ben,Neutral,Please cancel my subscription at the end of this month.
m142,chloe,Neutral,Please cancel my subscription at the end of this month.
m142,dana,Neutral,Please cancel my subscription at the end of this month.
m142,eli,Neutral,Please cancel my subscription at the end of this month.
m143,ana,Neutral,Delivery slot missed twice this week.
m143,ben,Negative,Delivery slot missed twice this week.
m143,chloe,Negative,Delivery slot missed twice this week.
m143,dana,Neutral,Delivery slot missed twice this week.
m143,eli,Negative,Delivery slot missed twice this week.
m144,ana,Negative,I just love spending my Saturday on hold with you.
m144,ben,Negative,I just love spending my Saturday on hold with you.
m144,chloe,Sarcastic,I just love spending my Saturday on hold with you.
m144,dana,Sarcastic,I just love spending my Saturday on hold with you.
m144,eli,Negative,I just love spending my Saturday on hold with you.
m145,ana,Positive,The battery lasts all week now. Fantastic update.
m145,ben,Positive,The battery lasts all week now. Fantastic update.
m145,chloe,Positive,The battery lasts all week now. Fantastic update.
m145,dana,Neutral,The battery lasts all week now. Fantastic update.
m145,eli,Positive,The battery lasts all week now. Fantastic update.
m146,ana,Positive,"Thank you for extending my trial, it made a real difference."
m146,ben,Positive,"Thank you for extending my trial, it made a real difference."
m146,chloe,Positive,"Thank you for extending my trial, it made a real difference."
m146,eli,Positive,"Thank you for extending my trial, it made a real difference."
m147,ana,Positive,"Kudos to the team, the outage was handled really well."
m147,ben,Positive,"Kudos to the team, the outage was handled really well."
m147,chloe,Positive,"Kudos to the team, the outage was handled really well."
m147,eli,Positive,"Kudos to the team, the outage was handled really well."
m148,ana,Positive,My parcel was tracked every step of the way. Very reassuring.
m148,ben,Positive,My parcel was tracked every step of the way. Very reassuring.
m148,chloe,Positive,My parcel was tracked every step of the way. Very reassuring.
m148,dana,Neutral,My parcel was tracked every step of the way. Very reassuring.
m148,eli,Positive,My parcel was tracked every step of the way. Very reassuring.
m149,ana,Neutral,Which languages does the app support?
m149,ben,Neutral,Which languages does the app support?
m149,chloe,Neutral,Which languages does the app support?
m149,dana,Neutral,Which languages does the app support?
m149,eli,Neutral,Which languages does the app support?
m150,ana,Negative,Thanks for the survey about the call you never returned.
m150,ben,Negative,Thanks for the survey about the call you never returned.
m150,chloe,Sarcastic,Thanks for the survey about the call you never returned.
m150,eli,Negative,Thanks for the survey about the call you never returned.
m151,ana,Neutral,I received the parcel today.
m151,ben,Neutral,I received the parcel today.
m151,chloe,Neutral,I received the parcel today.
m151,dana,Neutral,I received the parcel today.
m151,eli,Neutral,I received the parcel today.
m152,ana,Neutral,When does the summer sale end?
m152,chloe,Neutral,When does the summer sale end?
m152,dana,Neutral,When does the summer sale end?
m153,ana,Neutral,How long does a standard refund usually take?
m153,ben,Neutral,How long does a standard refund usually take?
m153,dana,Neutral,How long does a standard refund usually take?
m153,eli,Positive,How long does a standard refund usually take?
m154,ana,Neutral,Which charger is compatible with the X2?
m154,chloe,Neutral,Which charger is compatible with the X2?
m154,dana,Neutral,Which charger is compatible with the X2?
m155,ana,Sarcastic,"Oh joy, the app logged me out mid-payment. Again."
m155,ben,Sarcastic,"Oh joy, the app logged me out mid-payment. Again."
m155,chloe,Negative,"Oh joy, the app logged me out mid-payment. Again."
m155,dana,Negative,"Oh joy, the app logged me out mid-payment. Again."
m155,eli,Sarcastic,"Oh joy, the app logged me out mid-payment. Again."
m156,ana,Neutral,Does the warranty cover accidental damage?
m156,ben,Neutral,Does the warranty cover accidental damage?
m156,chloe,Neutral,Does the warranty cover accidental damage?
m156,dana,Neutral,Does the warranty cover accidental damage?
m156,eli,Positive,Does the warranty cover accidental damage?
m157,ana,Sarcastic,Nice touch leaving my parcel in the neighbour's bin.
m157,ben,Negative,Nice touch leaving my parcel in the neighbour's bin.
m157,chloe,Sarcastic,Nice touch leaving my parcel in the neighbour's bin.
m157,dana,Negative,Nice touch leaving my parcel in the neighbour's bin.
m157,eli,Sarcastic,Nice touch leaving my parcel in the neighbour's bin.
m158,ana,Negative,The refund went to a card I no longer have.
m158,ben,Sarcastic,The refund went to a card I no longer have.
m158,chloe,Negative,The refund went to a card I no longer have.
m158,eli,Negative,The refund went to a card I no longer have.
m159,ana,Positive,Just wanted to say the delivery arrived a day early. Thank you!
m159,ben,Positive,Just wanted to say the delivery arrived a day early. Thank you!
m159,chloe,Positive,Just wanted to say the delivery arrived a day early. Thank you!
m159,dana,Neutral,Just wanted to say the delivery arrived a day early. Thank you!
m159,eli,Positive,Just wanted to say the delivery arrived a day early. Thank you!
m160,ana,Sarcastic,Really love how the app forgets my settings every day.
m160,ben,Sarcastic,Really love how the app forgets my settings every day.
m160,chloe,Sarcastic,Really love how the app forgets my settings every day.
m160,dana,Neutral,Really love how the app forgets my settings every day.
m160,eli,Sarcastic,Really love how the app forgets my settings every day.
m161,ana,Positive,"Your agent Maria was fantastic, problem solved in five minutes."
m161,chloe,Positive,"Your agent Maria was fantastic, problem solved in five minutes."
m161,dana,Positive,"Your agent Maria was fantastic, problem solved in five minutes."
m161,eli,Positive,"Your agent Maria was fantastic, problem solved in five minutes."
m162,ana,Negative,The update deleted all my saved playlists.
m162,chloe,Negative,The update deleted all my saved playlists.
m162,dana,Negative,The update deleted all my saved playlists.
m162,eli,Negative,The update deleted all my saved playlists.
m163,ana,Sarcastic,Love paying premium prices for a beta product.
m163,ben,Negative,Love paying premium prices for a beta product.
m163,chloe,Negative,Love paying premium prices for a beta product.
m163,eli,Negative,Love paying premium prices for a beta product.
m164,ana,Positive,"I was worried about the return, but it was easy."
m164,ben,Positive,"I was worried about the return, but it was easy."
m164,chloe,Positive,"I was worried about the return, but it was easy."
m164,dana,Neutral,"I was worried about the return, but it was easy."
m164,eli,Positive,"I was worried about the return, but it was easy."
m165,ana,Negative,The sofa has a tear in the fabric.
m165,ben,Sarcastic,The sofa has a tear in the fabric.
m165,chloe,Negative,The sofa has a tear in the fabric.
m165,dana,Negative,The sofa has a tear in the fabric.
m165,eli,Negative,The sofa has a tear in the fabric.
m166,ana,Positive,"The dark mode is lovely, my eyes thank you."
m166,ben,Positive,"The dark mode is lovely, my eyes thank you."
m166,chloe,Positive,"The dark mode is lovely, my eyes thank you."
m166,dana,Positive,"The dark mode is lovely, my eyes thank you."
m166,eli,Positive,"The dark mode is lovely, my eyes thank you."
m167,ana,Neutral,Please add my colleague to our team workspace.
m167,ben,Neutral,Please add my colleague to our team workspace.
m167,chloe,Neutral,Please add my colleague to our team workspace.
m167,dana,Neutral,Please add my colleague to our team workspace.
m167,eli,Neutral,Please add my colleague to our team workspace.
m168,chloe,Positive,Impressed that you called back when you said you would.
m168,dana,Sarcastic,Impressed that you called back when you said you would.
m168,eli,Positive,Impressed that you called back when you said you would.
m169,ana,Negative,Very disappointed with the quality of the print.
m169,ben,Negative,Very disappointed with the quality of the print.
m169,chloe,Negative,Very disappointed with the quality of the print.
m169,dana,Neutral,Very disappointed with the quality of the print.
m169,eli,Negative,Very disappointed with the quality of the print.
m170,ana,Negative,Your hold music is lovely. I've heard it for an hour.
m170,ben,Sarcastic,Your hold music is lovely. I've heard it for an hour.
m170,chloe,Sarcastic,Your hold music is lovely. I've heard it for an hour.
m170,dana,Neutral,Your hold music is lovely. I've heard it for an hour.
m170,eli,Sarcastic,Your hold music is lovely. I've heard it for an hour.
m171,ana,Positive,Cheers for the heads-up about the maintenance window.
m171,ben,Positive,Cheers for the heads-up about the maintenance window.
m171,chloe,Positive,Cheers for the heads-up about the maintenance window.
m171,dana,Positive,Cheers for the heads-up about the maintenance window.
m171,eli,Positive,Cheers for the heads-up about the maintenance window.
m172,ana,Neutral,When will the new model be available in Canada?
m172,ben,Neutral,When will the new model be available in Canada?
m172,chloe,Neutral,When will the new model be available in Canada?
m172,dana,Sarcastic,When will the new model be available in Canada?
m172,eli,Neutral,When will the new model be available in Canada?
m173,ana,Neutral,How do I reset my password?
m173,ben,Neutral,How do I reset my password?
m173,chloe,Neutral,How do I reset my password?
m173,dana,Neutral,How do I reset my password?
m174,ana,Negative,I'm still waiting for the refund you promised in May.
m174,ben,Sarcastic,I'm still waiting for the refund you promised in May.
m174,chloe,Negative,I'm still waiting for the refund you promised in May.
m174,dana,Negative,I'm still waiting for the refund you promised in May.
m174,eli,Negative,I'm still waiting for the refund you promised in May.
m175,ana,Negative,My order is three weeks late and nobody replies to my emails.
m175,ben,Negative,My order is three weeks late and nobody replies to my emails.
m175,chloe,Negative,My order is three weeks late and nobody replies to my emails.
m175,dana,Neutral,My order is three weeks late and nobody replies to my emails.
m175,eli,Negative,My order is three weeks late and nobody replies to my emails.
m176,ben,Sarcastic,"Oh perfect, the store closed ten minutes before the posted time."
m176,chloe,Negative,"Oh perfect, the store closed ten minutes before the posted time."
m176,dana,Sarcastic,"Oh perfect, the store closed ten minutes before the posted time."
m176,eli,Sarcastic,"Oh perfect, the store closed ten minutes before the posted time."
m177,ana,Negative,I adore how every update moves the settings menu.
m177,ben,Negative,I adore how every update moves the settings menu.
m177,chloe,Sarcastic,I adore how every update moves the settings menu.
m177,dana,Negative,I adore how every update moves the settings menu.
m177,eli,Negative,I adore how every update moves the settings menu.
m178,ana,Neutral,My contract renews in March; what will the price be?
m178,ben,Sarcastic,My contract renews in March; what will the price be?
m178,chloe,Neutral,My contract renews in March; what will the price be?
m178,dana,Neutral,My contract renews in March; what will the price be?
m178,eli,Neutral,My contract renews in March; what will the price be?
m179,ana,Negative,The heater stopped working after two days.
m179,ben,Negative,The heater stopped working after two days.
m179,chloe,Negative,The heater stopped working after two days.
m179,dana,Sarcastic,The heater stopped working after two days.
m180,ana,Sarcastic,Clearly the instructions were written by a genius.
m180,chloe,Sarcastic,Clearly the instructions were written by a genius.
m180,dana,Neutral,Clearly the instructions were written by a genius.
m181,ana,Positive,Thanks for making cancellation so straightforward.
m181,ben,Positive,Thanks for making cancellation so straightforward.
m181,chloe,Positive,Thanks for making cancellation so straightforward.
m181,eli,Positive,Thanks for making cancellation so straightforward.
m182,ana,Negative,Everything arrived in perfect condition. Happy customer here.
m182,ben,Positive,Everything arrived in perfect condition. Happy customer here.
m182,chloe,Positive,Everything arrived in perfect condition. Happy customer here.
m182,dana,Positive,Everything arrived in perfect condition. Happy customer here.
m182,eli,Positive,Everything arrived in perfect condition. Happy customer here.
m183,ana,Negative,The app crashes every time I open the camera.
m183,ben,Sarcastic,The app crashes every time I open the camera.
m183,chloe,Negative,The app crashes every time I open the camera.
m183,dana,Negative,The app crashes every time I open the camera.
m183,eli,Negative,The app crashes every time I open the camera.
m184,ana,Negative,Thanks so much for charging me twice. Very generous.
m184,ben,Sarcastic,Thanks so much for charging me twice. Very generous.
m184,chloe,Sarcastic,Thanks so much for charging me twice. Very generous.
m184,dana,Neutral,Thanks so much for charging me twice. Very generous.
m184,eli,Sarcastic,Thanks so much for charging me twice. Very generous.
m185,ana,Positive,Wonderful experience from start to finish.
m185,chloe,Positive,Wonderful experience from start to finish.
m185,dana,Positive,Wonderful experience from start to finish.
m185,eli,Positive,Wonderful experience from start to finish.
m186,ana,Negative,"Such a helpful answer: ""have you tried turning it off?"""
m186,ben,Sarcastic,"Such a helpful answer: ""have you tried turning it off?"""
m186,chloe,Sarcastic,"Such a helpful answer: ""have you tried turning it off?"""
m186,dana,Sarcastic,"Such a helpful answer: ""have you tried turning it off?"""
m186,eli,Sarcastic,"Such a helpful answer: ""have you tried turning it off?"""
m187,ana,Neutral,Does the premium plan include phone support?
m187,ben,Neutral,Does the premium plan include phone support?
m187,chloe,Neutral,Does the premium plan include phone support?
m187,dana,Neutral,Does the premium plan include phone support?
m188,ana,Neutral,Can I change my username?
m188,ben,Neutral,Can I change my username?
m188,chloe,Neutral,Can I change my username?
m188,dana,Neutral,Can I change my username?
m188,eli,Neutral,Can I change my username?
m189,ana,Negative,You sent the wrong size again.
m189,ben,Negative,You sent the wrong size again.
m189,chloe,Negative,You sent the wrong size again.
m189,dana,Neutral,You sent the wrong size again.
m189,eli,Sarcastic,You sent the wrong size again.
m190,ana,Negative,The phone overheats when I use maps.
m190,ben,Negative,The phone overheats when I use maps.
m190,chloe,Negative,The phone overheats when I use maps.
m190,dana,Negative,The phone overheats when I use maps.
m190,eli,Negative,The phone overheats when I use maps.
m191,ana,Negative,"Wonderful, my password reset email arrived a day later."
m191,ben,Negative,"Wonderful, my password reset email arrived a day later."
m191,chloe,Sarcastic,"Wonderful, my password reset email arrived a day later."
m191,dana,Sarcastic,"Wonderful, my password reset email arrived a day later."
m191,eli,Negative,"Wonderful, my password reset email arrived a day later."
m192,ana,Neutral,Can you confirm whether my return has been processed?
m192,ben,Neutral,Can you confirm whether my return has been processed?
m192,chloe,Neutral,Can you confirm whether my return has been processed?
m192,eli,Neutral,Can you confirm whether my return has been processed?
m193,ana,Neutral,I'd like to update the email address on my account.
m193,ben,Neutral,I'd like to update the email address on my account.
m193,chloe,Neutral,I'd like to update the email address on my account.
m193,dana,Neutral,I'd like to update the email address on my account.
m193,eli,Neutral,I'd like to update the email address on my account.
m194,ben,Neutral,I've moved house; how do I update my billing address?
m194,chloe,Neutral,I've moved house; how do I update my billing address?
m194,dana,Neutral,I've moved house; how do I update my billing address?
m194,eli,Neutral,I've moved house; how do I update my billing address?
m195,ana,Negative,I've been on hold for forty minutes. This is unacceptable.
m195,ben,Sarcastic,I've been on hold for forty minutes. This is unacceptable.
m195,chloe,Negative,I've been on hold for forty minutes. This is unacceptable.
m195,dana,Negative,I've been on hold for forty minutes. This is unacceptable.
m195,eli,Negative,I've been on hold for forty minutes. This is unacceptable.
m196,ben,Sarcastic,The website keeps logging me out.
m196,chloe,Sarcastic,The website keeps logging me out.
m196,dana,Neutral,The website keeps logging me out.
m196,eli,Sarcastic,The website keeps logging me out.
m197,ana,Positive,"The new invoice layout is much easier to read, thanks."
m197,ben,Positive,"The new invoice layout is much easier to read, thanks."
m197,chloe,Positive,"The new invoice layout is much easier to read, thanks."
m197,dana,Positive,"The new invoice layout is much easier to read, thanks."
m197,eli,Positive,"The new invoice layout is much easier to read, thanks."
m198,ana,Neutral,Can I pay by bank transfer?
m198,ben,Negative,Can I pay by bank transfer?
m198,chloe,Neutral,Can I pay by bank transfer?
m198,dana,Neutral,Can I pay by bank transfer?
m198,eli,Neutral,Can I pay by bank transfer?
m199,ana,Neutral,Is there a phone number I can call instead of chat?
m199,dana,Neutral,Is there a phone number I can call instead of chat?
m199,eli,Negative,Is there a phone number I can call instead of chat?
m200,ana,Negative,I'm really frustrated. Nothing has been fixed.
m200,ben,Negative,I'm really frustrated. Nothing has been fixed.
m200,chloe,Negative,I'm really frustrated. Nothing has been fixed.
m200,dana,Negative,I'm really frustrated. Nothing has been fixed.
m200,eli,Negative,I'm really frustrated. Nothing has been fixed.
